id,input,target
25,1k5r/1p5p/2q1Bn2/8/3PpP2/8/3Q3P/4K2R w K - 2 41,d4d5
26,1k3r2/1p5p/5q2/7P/4p3/3nQ1R1/6B1/6K1 b - - 2 52,d3f4
27,1k6/1p5p/8/7P/4pr2/3nQ1R1/6BK/q7 w - - 5 54,g3g8
28,3b4/5k2/1r2p3/8/1p1r4/8/1PK2B1R/6R1 b - - 1 50,b6c6
29,1n1qkbnr/r2bpp2/pp1p4/2p3P1/Q5p1/2P4P/PP1PPN1R/RNB1KB2 w Qk - 2 10,a4f4
30,2b1k1nN/3q2p1/1pn1pp2/1p5Q/1b1pPP1P/8/1BPP2P1/rN2K2R b K - 0 17,e8d8
31,1nr1kb1r/Npp1pp1p/3p1np1/3P4/8/PP3NPq/R1P1PP1P/2BQK2R b Kk - 0 11,c8d8
32,2r2rk1/pp2qpb1/4n1p1/2P2bP1/4N2p/BP3N2/P1Q1PK1P/R6R w - - 5 19,e4f6
33,5rk1/r1pq2pp/bp2pn2/p4p2/2Pn1P2/1P1P2P1/PB1PN2P/R1K2BQR b - - 3 17,d4f3
34,3r3r/2b2p2/6k1/1p2N1P1/2b1P2p/5R2/1BK3P1/2R5 b - - 0 32,c7e5
35,4r2r/2p1nkp1/pb3p2/1p1P4/1PPnNP2/3P1N2/P2BR2P/1R3K2 w - - 1 29,f3d4
36,r1b4Q/1p2kr2/2p2p1p/2np4/1pB2PNq/1P2P2P/P2P1R2/1R2K3 w - - 2 29,g4h6
37,4qrk1/p3p1b1/2p1b2B/3pPpQ1/p2P4/3B4/1r1N1PPP/4K2R b K - 1 24,e8f7
38,8/8/6R1/5p1P/3np3/Ppk3P1/2r3K1/1R6 w - - 1 55,g2h3
39,N2k1bn1/pp3R2/3p2r1/2p1p3/4P1b1/Pn1PB3/1P2NPP1/3K1B2 b - - 0 19,f8e7
40,8/2q1bQ1k/p3p1p1/5n2/P5P1/7P/5P2/3R3K b - - 2 49,f5g7
41,r6k/1p2p2p/3p1ppn/q7/P2NP1b1/1Br2NQP/1n3PP1/R4RK1 b - - 1 25,g4f3
42,r6k/1p2p2p/2bpBppn/qN6/P3P3/2rn1NQP/5PP1/RR4K1 b - - 7 28,c6b5
43,5r2/1p4k1/1N4p1/p6p/PnP4P/4p1Pb/1P2B3/3R2K1 w - - 2 34,b6d5
44,1rbq3r/5kb1/8/pB1Pp3/R4np1/2NPBP2/1P2QK2/7R w - - 1 26,h1h8
45,2bk4/p1p2pb1/3p1q2/3Pnr2/4p3/2P1P1pP/PPK1BP1R/RNB2Q2 w - - 0 23,h2g2
46,3r1rk1/pb1pb1pp/1q2p3/5n2/nP2N2P/3B1N2/PP1BQPP1/1R1K3R w - - 3 19,b2b3
47,5r2/3k1B2/5R1p/5RpP/4PPK1/r3b3/8/8 b - - 4 46,e3f4
48,3k1r2/4RB2/5R1p/6pP/3bPPK1/r7/8/8 w - - 11 50,f6e6
49,3k1r2/5B2/5R1p/4P1pP/4P1K1/r7/8/8 b - - 0 51,d8e7
50,8/8/3k1P1p/r2B2pP/4P1K1/8/8/8 w - - 5 56,g4f5
51,r1b1r3/p1n2k1p/5p2/3p1p2/3P2pP/P3q1P1/4N1B1/R2QKN1R b KQ - 3 19,e3c3
52,2k4r/2p4P/P2p2p1/P3pb2/2B5/1n3P2/6R1/1rBK3R w - - 5 40,c4b3
53,2k5/2p4r/P2p2p1/P3pb2/2B5/4KP2/1R6/2n5 b - - 1 43,c7c6
54,r1b1k2r/pp3pBp/n1pq3n/3p4/7P/N2Pp1P1/2PNPP1R/1R1QKB2 b kq - 0 14,h6g4
55,rnbqk1nr/1pp3b1/5pp1/p2Bp2p/5NP1/1P2P3/PBPP1P1P/R2QK1NR w KQ - 1 12,f4e6
56,rn2kb1r/p1pqpppp/1p5n/3p4/Q4N2/2P1PP2/PP1P3P/RNB1K2R w KQkq - 0 10,a4d7
57,8/1r2k1b1/n7/2Pp4/3P1B2/2Pb1NP1/3N1P2/R3KB1r b - - 0 26,a6c5
58,2kr1bn1/pb1pq1r1/np2p2p/3PB3/5pPP/P2B1N2/1P3KN1/R2Q3R b - - 0 22,g8f6
59,1k4rb/1b6/1p1p3p/1P2p3/4n2P/4BN2/5K2/2R2R2 w - - 3 41,f2e1
60,1k5b/1b6/1B1p3p/1P6/4p2P/5rn1/3K4/2R3R1 w - - 0 45,b6c7
61,4rk1r/3p2p1/pp3p2/2p5/1PP1bq1N/B2P1Nb1/P5B1/1RQ2R1K b - - 2 24,h8h4
62,1n1qr1k1/2p2b1p/3b4/p2P1PP1/2Q4P/P1N3N1/1rP2RK1/R7 w - - 1 36,g5g6
63,3R4/8/4k2p/4rpP1/p1P5/4K3/P7/8 w - - 3 67,e3d4
64,1rb2k1r/b2ppp2/2nq2pp/pp1N2Pn/P1p1PP2/2P1BK1N/1R4BP/3Q3R w - - 0 23,e3a7
65,5rk1/5qb1/p5p1/2n5/6P1/BP2N1P1/P5Q1/1R2K3 b - - 1 38,g7d4
66,rnkq1bnr/4p1pp/2b5/p1Qp4/1P1P2p1/2P1B2P/P3PPB1/RN2K1NR w KQ - 0 11,b4a5
67,rnkq1b1r/4p1pp/2b2n2/p1Qp2B1/1P1P2p1/2P4P/P3PPB1/RN2K1NR w KQ - 2 12,b4a5
68,4k3/p1p2pp1/1p2p3/6B1/1bPr4/NK5P/P7/R7 b - - 1 30,b4a3
69,8/5R2/Pp6/1k6/3pp3/5p2/7r/2BK4 w - - 0 65,a6a7
70,1rb2k2/p1p1q1pr/1p3nRp/3p1P2/7P/1N3Q2/P1P1BP2/2K3R1 w - - 6 22,b3d4
71,r1bqk2r/1p3p1p/2pp1b2/p3p1p1/1nP3P1/P2PP2P/1P3PB1/1RBQK1NR b Kq - 0 13,b4a6
72,6k1/1p4b1/1Nn1p1pp/p2p3n/3P3q/P3P2r/1P1BBP2/2RQ1RK1 w - - 0 23,e2g4
73,4k3/p6q/n2pr3/2p2p2/1PPpbB1b/P4N2/R6Q/3B1K2 b - - 1 32,e4f3
74,2r3n1/1q1nbk2/p2pbp2/1p1Np1rp/4P1p1/1NPQB3/PP6/1K1R1BR1 w - - 6 28,g1h1
75,r2n1k2/1p2pp2/8/1PP5/pQ1p4/P2PqP2/6P1/1KR2B2 w - - 2 30,c5c6
76,2r3k1/1Q6/2p2p2/5q2/p2p4/P5P1/8/K3R3 w - - 3 41,g3g4
77,r1bqkb1r/1ppp1p1p/n7/p7/3Pn3/3B1NP1/PPN4P/R1BQK2R b KQkq - 1 10,d7d5
78,r1b1k2r/1p2pnbp/p2p2p1/5p2/1NPP1P2/1P1B3Q/Pq2N1PP/R4K1R w kq - 0 17,b4c2
79,r1b1k2r/1p2pnbp/p2p2p1/3N1p2/2PP1P2/qP1B3Q/P3N1PP/1R3K1R b kq - 3 18,a3a5
80,r4rk1/p5p1/Pp1b1p2/2p1p2p/2Pq1n1N/3P4/1P4PP/R1BQ1RK1 w - - 1 24,g1h1
81,3r4/3qp1bk/5Bpp/1Np2p2/1nQ2P2/4P3/5KbP/1R1B2R1 b - - 0 25,g2d5
82,5rk1/prqpb2p/5p1P/3bp1p1/2N2Q2/1N2P1R1/2P3P1/B4BK1 w - - 0 28,c4e5
83,r3k2r/2Q2n1p/pp1bp1q1/3Bn1p1/PP1P1pP1/7P/1BN1PP2/R3K2R w KQk - 1 22,c7c3
84,r5k1/2pn1pp1/r2np2p/2qP4/P1p2P2/2N2N2/P1QB2PP/R4K1R b - - 0 26,e6d5
85,5k2/2p3p1/r2np2p/P7/1npq1P1P/2N5/P2B2P1/R1Q2K1R b - - 2 33,b4d3
86,6Q1/1b1kp2p/4q1p1/pN3p2/Pn2n3/R3P3/5PPP/2B3K1 w - - 0 25,g8e6
87,8/1b1kp1Qp/2q3p1/pN3p2/Pn2n3/4P3/5PPP/R1B3K1 b - - 3 26,c6c2
88,8/1b1kp1Qp/2q3p1/pN3p2/Pn6/4P3/5nPP/R1B3K1 w - - 0 27,g7d4
89,8/1b1kp1Qp/2q3p1/pN3p2/Pn2P3/8/5nPP/R1B3K1 b - - 0 27,b4c2
90,rnb1k1nr/1pb2p1p/6p1/p1P1p1B1/4N2q/1P1Q4/P1P2PPP/R3KB1R b KQkq - 1 10,h4g4
91,2r3nr/P5kp/1Q3p1b/1b2p2p/1q1p4/3P4/1P2PPB1/R4KNR b - - 3 25,g8e7
92,1k3rr1/p1q2pb1/pn2pn2/2pbN2p/2N2R2/1P1P2P1/PBP1QP2/1K1R4 w - - 3 24,e5g6
93,1k3rr1/p1q2p2/Q4n2/2P1b2p/7R/1P1R2P1/P1P2P2/1K6 w - - 3 33,f2f4
94,k4r2/p1r2n2/8/2P4p/5R2/PP2R1P1/2P5/1K6 w - - 2 42,e3f3
95,6kr/5p2/2qP2p1/p1N1pP1p/3nP2P/6P1/4Q3/5KB1 w - - 2 43,g1d4
96,4r3/N2Rp3/1kP2p2/2p4p/P7/7P/r7/3K4 w - - 2 37,c6c7
97,1rbk2nr/p1q1ppb1/n2p3p/6P1/QP2P3/2PP4/R4PP1/1NB1KBNR b K - 0 12,a6b4
98,r1b1kb1r/p1p1nppp/n7/1p1NP3/4PP1P/6q1/PPPK2P1/R1BQ1BNR b kq - 2 10,e7d5
99,5n2/8/7k/3r4/5RPK/7P/8/8 b - - 0 63,f8g6
100,r4rk1/2p2bbp/p1nq4/2n3p1/3N1p1P/P1N2P2/1PBQ1BP1/R4RK1 w - - 2 22,c3e2
