model,logs
claude-opus-4-6_120K,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/EUknGXXh3f2mHtv3dTufLg.eval
claude-sonnet-4-6_32K,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/N5beL4W3WahAubJgDKivnE.eval
gemini-3.1-pro-preview,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/4QfM9qyeWGqNc8YTcQNV76.eval
glm-5,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/7czodbcgEF5zN68ppPFzBN.eval
claude-opus-4-6_64K,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/k5CCeHstJwo5wKpbMFZtfw.eval
claude-opus-4-6_32K,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/amkBg66TZcYjF26HaRAXfs.eval
grok-4-0709,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/gTh3CHLgfBDhvJCwobjju6.eval
glm-4.7,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/bzuVVvmLtPCgofXqY7mTVR.eval
fireworks/kimi-k2p5,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/f7vGNi73Cs5wSUsBMSzgFu.eval
gemini-3-flash-preview,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/ZMRExFd2WEEwTRSQPLXXwu.eval
deepseek-reasoner,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/CsCv6cEsjHtZnC6aoatVUC.eval
openai/gpt-oss-120b_high,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/h529FgFpbSYUfLa8s3CocQ.eval
gpt-5.2-2025-12-11_medium,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/fCzTfk9GNPokGEVSg2ry4s.eval
gpt-5.2-2025-12-11_high,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/R3bUSJCQiuGjg6TzBo7k8Q.eval
gpt-5.2-2025-12-11_low,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/SUBFSiYKfaantxswKig2a2.eval
Qwen3-235B-A22B-Thinking-2507,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/7iH4kjDYrjgRwQdKYgNACT.eval
qwen3-max-2025-09-23,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/Wfe5udNStR4yt4eoqgZ8hY.eval
kimi-k2-thinking-turbo,https://epoch-benchmarks-production-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/8JwFyEbMELziSdLLg8hatX.eval
claude-sonnet-4-5-20250929_32K,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/6qgxJVk8HHLppb7hPqz9Tv.eval
o4-mini-2025-04-16_high,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/k2G5DrB2We92UEZnGoyVuL.eval
gpt-5.1-2025-11-13_high,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/8aknqG8nWu3P5CoBcetqte.eval
gpt-5-2025-08-07_high,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/6DcmBdRZz57U5cusZNBeGW.eval
o3-mini-2025-01-31_high,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/52bwKmNetKXPAGYaBjdgCB.eval
claude-opus-4-5-20251101_32K,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/P7kyrA6oQ68tVGHyekP7Qj.eval
gemini-2.5-pro,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/mQ3UwD6hUioWSp2s2oELY4.eval
gemini-3-pro-preview,https://epoch-benchmarks-staging-public.s3.us-east-2.amazonaws.com/inspect_ai_logs/Ey65gb5LG3RdtZxMweDfAU.eval
